fix_identifier,state,description
ADEME,MINNESOTA,43-36-42.4100N 093-13-29.8500W
ADEMR,OFFSHORE ATLANTIC,32-51-44.3500N 065-09-53.5700W
ADEMS,TEXAS,FUZ*C*134.00/34.00 ACT*C*020.10 32-27-13.5000N 096-44-56.2500W
ADENE,WISCONSIN,42-43-41.2400N 090-28-05.5400W
ADENO,MICHIGAN,GLR*D*279.02 TVC*D*034.76/25.92 45-01-50.3200N 085-13-13.5300W
ADEOS,OKLAHOMA,36-52-48.7800N 102-09-07.2200W
ADEPT,SOUTH CAROLINA,34-42-25.0000N 080-09-21.0000W
ADERR,FLORIDA,CRG*C* /5.83 CRG*LS*141.03 30-16-06.6500N 081-25-56.4600W
ADERY,SOUTH CAROLINA,32-56-52.7900N 080-07-23.7900W
ADESE,SOUTH DAKOTA,44-26-38.8500N 103-25-57.9600W
ADETE,GEORGIA,34-54-06.7300N 085-19-31.7100W
ADEVE,OHIO,41-09-37.6400N 083-29-54.9700W
ADEWU,COLORADO,40-13-10.3300N 103-19-26.6700W
ADEXE,IDAHO,43-30-16.7900N 116-26-53.7200W
ADEYO,WISCONSIN,42-57-41.0400N 089-25-55.5600W
ADEYU,TENNESSEE,35-58-16.0100N 085-49-32.3300W
ADFIN,VERMONT,44-20-13.8700N 073-19-11.1800W
ADGAY,FLORIDA,25-52-08.9600N 080-12-53.9800W
ADHER,MASSACHUSETTS,41-47-19.3000N 070-27-54.8400W
ADIAN,TENNESSEE,35-34-32.9100N 084-30-43.0200W
ADIBE,UTAH,PUC*D*163.96/30.00 39-06-11.0400N 110-43-50.2700W
ADICA,KANSAS,39-16-53.2500N 098-07-20.5400W
ADICE,NEW HAMPSHIRE,43-19-25.7000N 071-13-07.1400W
ADIER,MINNESOTA,47-01-39.6600N 093-26-35.0300W
ADIKE,ILLINOIS,41-44-54.0600N 090-15-12.2500W
ADILE,MAINE,44-29-01.0300N 069-03-59.7600W
ADIME,MICHIGAN,ELX*D*200.00/12.00 41-57-22.8600N 086-12-51.5100W
ADING,UTAH,OGD*C*127.00/10.00 41-05-39.8900N 111-57-34.2600W
ADINY,COLORADO,39-14-52.1300N 106-52-50.2000W
ADIOS,VIRGINIA,38-27-25.1300N 078-42-10.6100W
ADIPY,TEXAS,32-01-20.4800N 101-37-36.6900W
